Keuwl Accelerometer Data File
2019-06-26 17-29-22

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,4.277241,8.761581,-1.459266,9.858477,98.512283,63.979229
0.0093520,4.463989,8.748413,-1.661576,9.961062,99.602226,62.966473
0.0195500,4.513070,8.603564,-1.273715,9.798544,97.469032,62.320377
0.0293800,4.727351,8.410830,-0.636858,9.669308,93.776451,60.661610
0.0395030,5.036203,8.254010,0.050278,9.669258,89.702072,58.610451
0.0494230,5.562928,8.265982,0.648829,9.984669,86.274155,56.059818
0.0595850,6.132748,8.532935,1.236605,10.580679,83.288277,54.294636
0.0693530,6.593631,8.621520,1.780089,10.998877,80.686127,52.591690
0.0795330,6.622362,8.476671,1.988384,10.939073,79.527184,52.001427
0.0893260,5.656301,8.652645,1.501164,10.445837,81.737450,56.827042
0.1000710,5.273229,8.689755,0.875081,10.202185,85.079475,58.749249
0.1094870,4.906917,8.634688,0.272939,9.935300,88.425797,60.391319
0.1194530,4.408922,8.461109,-0.271742,9.544779,91.631447,62.476841
0.1293390,4.456807,8.894460,-0.672771,9.971316,93.868721,63.385616
0.1394310,4.436456,8.920795,-1.183933,10.033166,96.776802,63.558098
0.1494670,4.140772,8.722076,-1.205481,9.730046,97.116806,64.604149
0.1594940,3.960010,8.433576,-0.991199,9.369597,96.072624,64.847466
0.1695940,4.043807,8.213309,-0.760159,9.186330,94.746590,63.786762
0.1795130,4.240131,8.170214,-0.511162,9.219131,93.178436,62.571846
0.1893620,4.473566,8.203732,-0.260968,9.347840,91.599762,61.395985
0.1997170,4.675876,8.250419,-0.062249,9.483517,90.376091,60.457859
0.2093300,4.881777,8.298303,0.128090,9.628602,89.237770,59.532288
0.2194670,5.046977,8.379706,0.268151,9.785876,88.429794,58.940048
0.2293430,5.197812,8.444349,0.360327,9.922405,87.918877,58.386150
0.2395890,5.234922,8.463503,0.391452,9.959344,87.747406,58.262005
0.2493660,5.222951,8.524555,0.341174,10.003182,88.045464,58.504414
0.2594480,5.167884,8.602366,0.191536,10.037152,88.906578,59.004597
0.2696020,5.064934,8.637083,0.037110,10.012699,89.787643,59.611908
0.2794980,4.951209,8.677784,-0.104148,9.991459,90.597244,60.292583
0.2893500,4.879383,8.653842,-0.199916,9.936666,91.152809,60.583954
0.2994660,4.879383,8.615535,-0.149638,9.902434,90.865837,60.475079
0.3093310,4.939238,8.622718,-0.002394,9.937170,90.013802,60.195190
0.3194310,5.051765,8.619126,0.124498,9.991255,89.286034,59.624962
0.3293380,5.163096,8.570045,0.195127,10.007063,88.882721,58.932781
0.3393980,5.210980,8.513782,0.232238,9.984624,88.667206,58.530697
0.3493950,5.243302,8.488642,0.208296,9.979611,88.804031,58.297020
0.3596980,5.251681,8.473080,0.169988,9.970061,89.023064,58.209038
0.3696880,5.199009,8.453926,0.148441,9.925754,89.143105,58.409248
0.3794130,5.084087,8.413225,0.125696,9.830875,89.267410,58.855553
0.3905190,4.989516,8.409634,0.058658,9.778582,89.656303,59.318935
0.3994370,4.924873,8.428787,-0.039504,9.762192,90.231857,59.702599
0.4093770,4.881777,8.437167,-0.119710,9.748429,90.703606,59.946163
0.4194430,4.850653,8.433576,-0.143652,9.730091,90.845924,60.094223
0.4295370,4.824317,8.444349,-0.141258,9.726306,90.832153,60.260368
