Keuwl Accelerometer Data File
2019-06-26 17-08-48

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,3.428497,9.112331,-2.047042,9.948847,101.873802,69.381287
0.0097030,3.447650,9.285912,-2.331953,10.176072,103.247643,69.631172
0.0197340,3.506308,9.212888,-2.244564,10.109875,102.827530,69.163811
0.0297040,3.703830,8.972271,-1.990779,9.908744,101.590256,67.568748
0.0398050,3.902549,8.799889,-1.545457,9.749685,99.120628,66.083809
0.0498120,3.994725,8.597578,-1.084573,9.542143,96.526421,65.078827
0.0599770,4.250905,8.763975,-0.785298,9.772111,94.609322,64.124619
0.0697780,4.841076,9.378088,-0.422577,10.562345,92.292892,62.696701
0.0797770,5.091270,9.166202,-0.110133,10.485820,90.601791,60.950481
0.0897160,5.250484,9.057265,0.031125,10.469127,89.829659,59.899189
0.0999320,5.202600,9.248801,-0.067038,10.611874,90.361954,60.641541
0.1101260,4.782418,9.232041,-0.368707,10.403752,92.030975,62.614765
0.1197510,4.367024,9.287108,-0.708684,10.287056,93.950279,64.815948
0.1298390,4.106056,9.241618,-1.049857,10.167075,95.926956,66.044395
0.1397570,3.834314,8.978256,-1.143231,9.829447,96.679001,66.874283
0.1501110,3.494337,8.644265,-1.173159,9.397341,97.171486,67.989586
0.1598210,3.344700,8.652645,-1.307234,9.368253,98.021156,68.865875
0.1700850,3.309984,8.585608,-1.636437,9.345939,100.084244,68.917000
0.1801170,3.359065,8.622718,-1.825579,9.432249,101.159828,68.716110
0.1900460,3.434482,8.759187,-1.871069,9.592701,101.247719,68.589828
0.2004990,3.509900,8.865729,-1.831564,9.709541,100.873161,68.401627
0.2099960,3.575740,8.786720,-1.637634,9.626745,99.794388,67.856224
0.2199830,3.688268,8.732851,-1.406593,9.583554,98.439880,67.103523
0.2309230,3.890578,8.854955,-1.331176,9.763138,97.836525,66.280884
0.2405420,3.957615,8.854955,-1.285686,9.783963,97.550934,65.918320
0.2515160,3.940856,8.831013,-1.070208,9.729465,96.315117,65.951096
0.2598860,3.976769,8.888474,-0.956484,9.784402,95.609962,65.895905
0.2699100,4.055778,8.979453,-0.924162,9.896160,95.358429,65.692581
0.2803960,4.116830,9.012972,-0.928950,9.952130,95.355888,65.450638
0.2900260,4.170700,9.063251,-0.960075,10.022923,95.496674,65.289200
0.3007560,4.244920,9.157822,-1.001973,10.143421,95.668961,65.130890
0.3099750,4.282030,9.196129,-1.065420,10.199985,95.995659,65.031715
0.3197680,4.228160,9.185355,-1.101333,10.171579,96.215912,65.282654
0.3296570,4.092888,9.059659,-1.139640,10.006394,96.539673,65.687943
0.3396990,3.998317,8.969876,-1.182736,9.891617,96.867256,65.975105
0.3498060,3.975572,8.932767,-1.198298,9.850656,96.987137,66.008308
0.3597750,4.005499,8.941146,-1.224634,9.873593,97.124817,65.868340
0.3704760,3.998317,8.901642,-1.227028,9.835210,97.166824,65.811996
0.3799810,3.964798,8.864532,-1.169568,9.780972,96.867622,65.902687
0.3898470,3.955221,8.840590,-1.114501,9.748944,96.564415,65.896576
0.3998910,3.992331,8.853758,-1.092953,9.773551,96.420685,65.728462
0.4101480,4.009091,8.869320,-1.094150,9.794632,96.413849,65.676186
0.4198470,4.047398,8.863335,-1.059434,9.801149,96.205391,65.456429
0.4298320,4.104859,8.823831,-1.013944,9.784576,95.948059,65.052078
0.4399070,4.092888,8.734048,-0.954089,9.692554,95.649078,64.891602
0.4507640,4.065354,8.717288,-0.992397,9.669699,95.890610,64.997749
0.4599030,4.062960,8.779537,-1.080982,9.734292,96.375778,65.166428
0.4697400,4.022259,8.802282,-1.106121,9.740751,96.520348,65.441666
0.4796840,3.986346,8.833407,-1.091756,9.752537,96.427498,65.711266
0.4898080,3.998317,8.856153,-1.130063,9.782383,96.633629,65.702095
0.4999340,4.016273,8.884883,-1.091756,9.811399,96.388779,65.675392
0.5104850,4.052186,8.908825,-1.057040,9.844019,96.164246,65.541550
0.5201530,4.054581,8.953117,-1.054646,9.884848,96.124725,65.635750
0.5300670,4.061763,8.957906,-1.112107,9.898422,96.450912,65.609138
0.5398279,4.011485,8.923190,-1.110910,9.846292,96.478203,65.793350
0.5498090,4.003105,8.911219,-1.054646,9.825830,96.161659,65.809387
0.5597910,4.040215,8.933964,-1.029507,9.858953,95.993958,65.666039
0.5698930,4.042610,8.931569,-1.023521,9.857140,95.960083,65.647530
0.5799840,4.052186,8.902839,-0.994791,9.832108,95.806999,65.527031
0.5904690,4.058172,8.913613,-0.992397,9.844090,95.785896,65.521271
0.6002890,4.066552,8.941146,-0.997185,9.872958,95.796852,65.543327
0.6108750,4.085705,8.991425,-1.041478,9.930930,96.019798,65.562943
0.6196899,4.218584,9.163807,-1.113304,10.149446,96.297508,65.280891
0.6297210,3.877410,8.864532,-1.108515,9.738739,96.535881,66.375084
0.6397180,3.708618,8.680179,-1.037886,9.496135,96.274712,66.865334
0.6507270,3.750517,8.725668,-0.912191,9.541265,95.486130,66.740723
0.6598180,3.965995,8.881291,-0.981623,9.775993,95.762871,65.936554
0.6712220,4.120421,8.963891,-1.035492,9.919750,95.991844,65.313232
0.6799200,4.103662,8.972271,-1.024718,9.919261,95.929573,65.421989
0.6905749,3.974375,8.945934,-1.027112,9.842782,95.989822,66.046051
0.6999210,3.879804,8.895657,-1.100136,9.767081,96.467354,66.435776
0.7099470,3.909731,8.890868,-1.110910,9.775871,96.525070,66.262657
0.7199930,4.013879,8.945934,-1.055843,9.861835,96.146072,65.835091
