Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,5.066131,8.058883,-1.243788,9.599910,97.444305,57.844917
0.0100500,5.237316,8.115147,-1.338359,9.750708,97.889183,57.162796
0.0199190,5.434838,8.097190,-0.958878,9.799050,95.615616,56.130470
0.0300610,5.658696,8.000225,-0.469264,9.810435,92.741684,54.727577
0.0398930,5.702989,7.717709,0.071826,9.596472,89.571159,53.537510
0.0498790,6.028600,7.811083,0.912191,9.909042,84.718079,52.339012
0.0599130,6.848614,8.002619,1.395820,10.625146,82.451263,49.443203
0.0699370,7.156269,8.288726,1.668759,11.077000,81.335358,49.193531
0.0798500,6.941988,8.021772,1.673547,10.739682,81.035156,49.127308
0.0899950,6.758832,7.739257,1.485602,10.381951,81.773041,48.868706
0.1000370,6.845023,8.093599,1.222240,10.670265,83.422539,49.777702
0.1099910,6.382942,7.920019,0.675165,10.194336,86.202553,51.133789
0.1199450,5.857414,7.762002,0.237026,9.726981,88.603683,52.960819
0.1303100,5.506664,7.694964,-0.137667,9.463339,90.833534,54.411766
0.1399520,5.334281,7.736863,-0.395043,9.405831,92.407120,55.415169
0.1505850,5.201403,7.795521,-0.454898,9.382520,92.778992,56.287605
0.1599280,5.122395,7.888895,-0.525527,9.420710,93.197861,57.003647
0.1700190,5.159505,7.999028,-0.561440,9.535206,93.375572,57.177315
0.1801690,5.149928,8.069656,-0.514753,9.586766,93.077927,57.454620
0.1904780,5.407305,7.802703,-0.276530,9.497241,91.668510,55.277885
0.1999300,5.515044,8.271967,0.239420,9.944771,88.620468,56.308018
0.2104730,5.124789,8.098388,-0.061052,9.583897,90.364990,57.673721
0.2213810,5.416882,7.697359,-0.059855,9.412519,90.364349,54.864700
0.2302610,5.882554,7.551312,0.159214,9.573510,89.047089,52.081024
0.2399320,6.135142,7.606379,0.414197,9.781029,87.572975,51.111095
0.2500430,6.227319,7.766790,0.434548,9.964505,87.500565,51.277782
0.2599790,6.212954,7.976283,0.138864,10.111437,89.213112,52.083961
0.2702480,6.058527,8.105570,-0.033519,10.119641,90.189781,53.223637
0.2801520,5.843049,8.072051,-0.113725,9.965549,90.653862,54.100658
0.2905850,5.701791,7.969100,-0.019154,9.798844,90.111992,54.416756
0.3000030,5.640739,7.899669,0.105345,9.707410,89.378212,54.471359
0.3108100,5.668272,7.890092,0.180762,9.716766,88.934059,54.306389
0.3199660,5.746084,7.920019,0.262165,9.788407,88.465248,54.038593
0.3299500,5.797559,7.906851,0.366313,9.811431,87.860344,53.749924
0.3400930,5.888539,7.866150,0.468066,9.837190,87.272758,53.181755
0.3500890,6.036980,7.862558,0.511162,9.926038,87.048126,52.482456
0.3600820,6.227319,7.921216,0.556652,10.091334,86.837883,51.827099
0.3713150,6.355408,8.013393,0.538695,10.241869,86.985001,51.582127
0.3799730,6.369773,8.042124,0.421380,10.267781,87.647980,51.618977
0.3903360,6.268020,7.975086,0.317232,10.148434,88.208687,51.834419
