Keuwl Accelerometer Data File
2019-06-26 17-45-19

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,4.927267,8.297106,-1.447295,9.757796,98.529694,59.295887
0.0100690,4.859032,8.064868,-0.981623,9.466566,95.951904,58.931301
0.0200590,5.304354,8.016984,-0.294487,9.617428,91.754677,56.509800
0.0301320,5.923255,8.039729,0.499191,9.998569,87.138245,53.619141
0.0401650,6.259640,7.984663,1.295263,10.228178,82.724716,51.905045
0.0502630,6.488286,7.987057,1.844732,10.454376,79.836632,50.911312
0.0603420,6.558916,7.963115,2.018312,10.512095,78.930534,50.523010
0.0702220,6.561310,7.936779,1.984793,10.487262,79.090546,50.419567
0.0801580,6.578069,7.571663,1.884237,10.205461,79.360428,49.016716
0.0902670,6.862979,8.434772,1.314417,10.953244,83.107750,50.866367
0.0999870,6.424840,9.130288,-0.187945,11.165843,90.964455,54.866550
0.1102180,5.760449,8.653842,-0.669179,10.417273,93.683075,56.350189
0.1200110,5.738902,8.171411,0.131681,9.986204,89.244461,54.919067
0.1303430,5.808333,8.064868,-0.096965,9.939227,90.558975,54.238495
0.1401100,5.440824,8.078036,-0.204704,9.741618,91.204063,56.038437
0.1501590,5.118803,8.007407,-0.429759,9.513433,92.589157,57.410908
0.1600470,5.027823,7.926005,-0.544681,9.401980,93.321152,57.611195
0.1705520,5.105635,7.931990,-0.494403,9.446079,93.000198,57.231571
0.1803160,5.239710,7.939173,-0.335188,9.518266,92.018105,56.575912
0.1905140,5.317522,7.936779,-0.178368,9.555120,91.069618,56.178509
0.2002620,5.345055,7.959524,-0.107739,9.588286,90.643822,56.117474
0.2103370,5.354632,7.978677,-0.075417,9.609218,90.449684,56.133736
0.2201970,5.404911,8.000225,-0.014365,9.654888,90.085251,55.957245
0.2302620,5.503073,8.031349,0.046687,9.735942,89.725250,55.581097
0.2402160,5.596447,8.032547,0.147243,9.791001,89.138313,55.134251
0.2502570,5.679047,8.021772,0.252588,9.831796,88.527855,54.703259
0.2601010,5.758055,8.013393,0.332794,9.873218,88.068382,54.300716
0.2706330,5.847837,8.005013,0.411803,9.922048,87.621323,53.851055
0.2803880,5.869385,7.999028,0.411803,9.929940,87.623215,53.730183
0.2906270,5.857414,7.990648,0.363919,9.914242,87.896393,53.757328
0.3002440,5.831078,7.995437,0.300472,9.900443,88.260841,53.896698
0.3108480,5.787982,7.996634,0.215478,9.873871,88.749535,54.102890
0.3201510,5.777209,7.993042,0.148441,9.863412,89.137688,54.141361
0.3303760,5.777209,7.981071,0.105345,9.853159,89.387413,54.100582
0.3401490,5.783194,7.964312,0.093374,9.842983,89.456467,54.015152
0.3504860,5.771223,7.930793,0.083797,9.808747,89.510513,53.956692
0.3601430,5.737704,7.866150,0.076614,9.736705,89.549156,53.892349
0.3705100,5.730522,7.814674,0.015562,9.690627,89.907990,53.747303
0.3805560,5.708974,7.729680,-0.043096,9.609485,90.256958,53.551231
0.3905370,5.698200,7.631518,-0.025139,9.524189,90.151230,53.252525
0.4007520,5.803545,7.637504,-0.037110,9.592392,90.221664,52.769722
0.4110890,5.884948,7.444770,-0.250194,9.493146,91.510216,51.674309
0.4202580,5.928043,7.042544,-0.441730,9.215978,92.747292,49.911091
0.4302470,6.119579,6.787562,-0.441730,9.149611,92.767235,47.962582
0.4401360,6.354211,6.627151,-0.339977,9.187531,92.120667,46.204494
0.4507650,6.794744,6.561310,-0.263362,9.449269,91.597107,43.998699
0.4601500,7.285556,6.291962,-0.407014,9.635028,92.421074,40.814594
0.4739250,7.343017,6.136339,-0.266953,9.573182,91.597931,39.884495
0.4901770,7.469909,5.662287,-0.769736,9.404974,94.694534,37.162594
0.5001630,7.328651,5.323507,-1.116895,9.126681,97.029305,35.994526
0.5105619,7.542933,5.276821,-1.340753,9.302595,98.286713,34.975540
0.5202720,7.948750,5.601235,-1.408988,9.825563,98.244652,35.171154
0.5302910,8.311471,6.062119,-1.517924,10.398746,98.393555,36.105804
0.5400240,8.489840,6.107608,-2.026692,10.653062,100.967079,35.731319
0.5501410,8.418014,5.790377,-2.404976,10.496444,103.245438,34.522350
0.5601050,7.935582,5.505467,-2.371457,9.945222,103.795189,34.751747
0.5702050,7.692570,5.560534,-2.202666,9.744070,103.064743,35.861084
0.5802150,8.088810,6.010643,-2.278083,10.331812,102.737938,36.615353
0.5904090,8.950723,6.448782,-2.561796,11.325416,103.073380,35.771851
0.6006709,9.406818,6.376956,-3.026271,11.760617,104.911247,34.133656
0.6103800,9.330204,5.866991,-3.272874,11.497216,106.538925,32.162380
0.6203160,8.906430,5.098453,-3.299210,10.779773,107.821686,29.788816
0.6302620,8.525752,4.328717,-3.293224,10.112941,109.004631,26.917933
0.6401880,8.657434,3.803190,-3.287239,10.011061,109.169304,23.715767
0.6521810,9.334992,3.991134,-3.227384,10.653039,107.635132,23.148912
0.6607320,10.386047,4.807557,-3.302801,11.911804,106.097412,24.838764
0.6713269,10.984597,5.522226,-3.882198,12.892937,107.524315,26.689798
0.6801710,10.651803,5.431247,-4.643554,12.826611,111.224617,27.016575
0.6902350,9.755175,4.746505,-5.013458,11.951046,114.802994,25.945829
0.7003050,9.297882,4.072537,-5.243302,11.424902,117.318489,23.653751
0.7103840,9.654618,3.560178,-5.392939,11.617672,117.658546,20.241648
0.7202190,10.781090,3.825934,-5.210980,12.570759,114.489838,19.538479
0.7303240,12.100295,4.223372,-5.634754,14.000159,113.733170,19.240545
0.7402490,13.401544,4.441244,-6.639122,15.601409,115.185249,18.335091
0.7521030,14.371196,2.551022,-6.622362,16.027933,114.404518,10.065690
0.7603870,14.635755,1.168370,-5.920861,15.831203,111.962486,4.564236
0.7708660,15.267824,0.554258,-5.786786,16.337091,110.745125,2.079058
0.7803690,16.189592,0.549469,-6.751649,17.549631,112.626198,1.943853
0.7902210,17.053898,1.199495,-8.625112,19.148544,116.771385,4.023304
0.8004020,17.905037,2.152387,-10.504560,20.870287,120.220299,6.854707
0.8105310,17.973272,2.208651,-10.156203,20.762108,119.286049,7.005687
0.8204510,17.804482,0.972046,-9.588778,20.245718,118.269539,3.124994
0.8303220,18.213890,-0.229843,-9.167398,20.392151,116.715149,359.277008
0.8401740,18.662802,-0.814029,-9.288305,20.862297,116.437393,357.502472
0.8502360,19.624075,-0.454898,-10.292673,22.164169,117.670326,358.672089
0.8606020,20.728998,0.472855,-9.782708,22.926325,115.258438,1.306763
